id;title;description_RU;description_EN
SleepVillagerLaughter;;Местные нашли себе новое развлечение! Один мужик по ночам дает послушать, какие странные звуки издает его братец из города. То смешливо храпит, то хохотать во все горло начинает, даже с кровати скатиться может от хихиканья, а все не просыпается!;Locals' got a new favorite pastime. For lack of a better amusement they gather to watch a snoring man. His whimsical wheezes and giggling snorts are a laugh for the whole village. It's not often you see a sleeping man fall from his bed in a burst of laughter and keep sleeping. 
mary.91;;Одна из селянок летала в полночь голой на метле и хохотала как безумная. Вряд ли она ожидала, что инквизиторы так быстро ее поймают и бросят в темницу. Пусть теперь посмеется.;This midnight a local girl was seen flying around on her broom. Stark naked and laughing wildly. The church took immediate actions and locked her up. Who is going to laugh now?
mary.92;;Одна из селянок скакала в полночь голой на метле и хохотала как безумная. Наверное, съела или выпила чего-то не того.;A local girl took to running around with her broom, stark naked and laughing. Perhaps there's something in the water.
mary.93;;Местная девушка была найдена мертвой в собственном доме, неестественно скрюченной и с застывшим в глазах ужасом. Горькая утрата, родные и друзья убиты горем.;A local girl was found dead in her room, with terror in her eyes and all twisted up. A shocking tragedy for her friends and relatives.
MerchantReturned;;Благодаря вашему зелью, торговец смог улизнуть от бандитской засады, хоть и потерял часть товара.;Thanks to your potion the merchant was able to dodge a bandits' ambush. He still lost part of his wares but saved his life.
MerchantReturnedVeryWealthy;;Благодаря вашему зелью, торговец всю дорогу был начеку и смог улизнуть от бандитской засады. Он хорошо отблагодарил вас.;Thanks to your potion the merchant stayed sharp the whole way and dodged a bandits' ambush. He has paid you handsomely.
MerchantDied;;Местный торговец так и не вернулся в деревню. Возможно, он просто уехал в другой город. Но многие видели, как прямо перед пропажей он заходил к вам.;The merchant never returned to the village. Who knows, maybe he decided to move. But his visit to you right before he disappeared didn't go unnoticed and now people are talking.
tavern.numb;;Хоть Густаф и потерял голос, но его желание играть на лютне никуда не пропало. Теперь свою музыку он сопровождал мычанием. Иногда даже попадал в мелодию.;Gustav lost his voice but not his passion for music. He now moos instead of singing and even hits some notes right. Sometimes.
tavern.memory;;Хозяин таверны благодарит вас за помощь. Бард действительно забыл дорогу в таверну в эту ночь, блуждал со своей лютней где-то на другой стороне города.;Tavern owner thanks you for help. The bard forgot his way to the tavern last night and wandered the city hugging his lute.
tavern.voice-change;;Хоть голос у Густафа и стал более глубоким и чарующим, игрец на лютне из него всё же был никакой. ;Gustav's voice got deeper and more captivating, but he still couldn't hit a single note on his lute.
tavern.sleep;;Хозяин таверны благодарит вас за помощь. Даже похрапывая на крыльце таверны, бард Густаф умудрялся фальшивить.;Tavern owner thanks you for help. Gustav slept on the porch the whole night, snoring out of tune.
tavern.wake;;Всю ночь рвался Густаф в таверну. Когда его не пустили, он устроил концерт на главной площади. Горожане заплатили трактирщику, и тот пустил Густафа обратно. ;Gustav tried to enter the tavern but was kicked out. After his impromptu concert on the town square people paid the tavern owner to let him in.
old_knight_event.2;Экий славный рыцарь жил;Свершилось чудо! Старый рыцарь победил на большом турнире, покрыв себя неувядающей славой. Вместе с молодой женой поселился в одном из речных замков и поговаривает о продолжении рода! Воистину, старый конь…;A miracle! An old knight won the grand tourney and covered himself in glory. Newly-weds - why, yes, there's a young wife as well, - settled down in one of the river castles and even think of having children. The older the fiddle...
BanditDied;;Вы взяли на себя грех, не спася человека от смерти, но в окрестностях деревни стало безопаснее.;You refused to help a wounded man, dooming him to die. A heavy sin, but the village is a little safer now.
TaxCollectorAwesome;;Присланный в деревню сборщик налогов пользуется большим успехом у местных девушек. Те встают в очередь, чтобы отдать свой гражданский долг.;The tax collector is very popular among local girls. They've actually formed a queue to pay their civic duty.
TaxCollectorFoundDead;;Присланный в деревню сборщик налогов найден мертвым в своей комнате. Ничем хорошим для селян это не закончится.;The tax collector was found dead in his room. This doesn't bode well for the villagers.
TaxCollectorFunnyVoice;;В деревню прибыл сборщик налогов с таким смешным голосом, что люди приходили толпами над ним посмеяться. Кто-то даже дал ему монетку.;The tax collector arrived. His funny voice gathered crowds of fascinated onlookers. Some even threw coins at him.
BlacksmithKilledByMan;;Один из крестьян пристукнул кузнеца. Он говорил, что «силушки не рассчитал», но крестьяне уже скрутили его и передали на суд. Шутка ли — единственного мастера убил!;One of the peasants killed the blacksmith in a tavern brawl. He swore he didn't want to and didn't know his own strength, but the others tied him up and delivered to the authorities.
DrunkDied;;В местной таверне одному завсегдатаю стало плохо. Его не успели откачать, но он слыл нехорошим человеком — грустят по нему немногие.;A drunkard died in the tavern the other evening. Halfhearted attempts to save him were futile. Considering his reputation, he won't be missed by many.
VillagerBlacksmithRejuvenation;;Один местный парниша закатил истерику, когда ему не продали пиво в местной таверне. Он пытался выдать себя за одного из постояльцев, но кузнец легко выбросил его в придорожную грязь.;Some lad made a scene after he was refused service in the local tavern. He tried to impersonate a patron but the blacksmith threw him out.
VillagerBlacksmithPerception;;Ночью в одной из таверн привычно завязалась драка. Необычно в ней то, что один крестьянин, раньше никогда не отличавшийся верткостью или силой, легко остался стоять на ногах. Очевидцы говорят, что он просто тыкал людям в разные места пальцем, как будто бы зная, где у них слабые места.;Another night, another tavern brawl. Business as usual. Unusually, the last man standing was the one who never showed much fighting prowess before. People say he just poked opponents with his finger and they fell on the spot.
VillagerBlacksmithMemory;;Удивительное дело, один из закадычных неприятелей местного кузнеца внезапно решил позабыть все обиды и помирился с ним. Людям кажется, что он позабыл что-то еще, но, по крайней мере, проблем в деревне точно будет меньше.;Surprisingly, a man who held a grudge against the blacksmith for the longest time forgot his grievances and made peace with him. People feel like he forgot more than that but generally agree that there'll be less trouble in the village now.
moonshine-stealing-fairies-bold;;Все больше крестьян стало замечать, что у них кто-то таскает припасы. Мужик в трактире рассказал, что просил у вас помощи супротив вороватых чертей, но все стало только хуже.;More and more peasants notice that someone steals their supplies. A man told his drinking buddies that he asked for your help against the thieving devils but things only got worse.
moonshine-stealing-fairies-caught;;Ночью крестьянин принес вам бочонок браги и рассказал, как удачно поймал упившихся чертей в сачок и заключил с ними договор. Он ставит им кружку браги, а они ходят пакостить в другое место. На этих словах мужик заговорщицки подмигнул.;This evening a man brought you a barrel of beer and told how he caught drunken devils with a net and made a deal with them. For a share of beer they leave him alone and go stealing someplace else. The last words were said with a knowing wink.
LoveStoryVillagerLove;;Блудливый муж крестьянки вернулся домой. Совсем недавно он сбежал к соседке, а теперь стыдливо возвращается обратно и клянется Богом, что «не знает, что на него нашло, с этой страхолюдиной в одном доме находиться не может».;A prodigal husband returned home. Just a short time ago he left his wife for his neighbor and now he's back with his tail between his legs. Says he doesn't know what came over him and he can't in his right mind stay in the same home with 'that ugly monster.'
mushroom-story-event.1;Постоялый двор закрывается;Дурные вести расползаются по округе. Умер держатель постоялого двора и все его гости. Молва рассказывает о страшном мертвеце, что выбрался из могилы и напал на них, сея ядовитые споры. Утром солнце его спалило, но погибших, увы, не вернуть.;Bad news today. The innkeeper died along with every guest in his inn. People are whispering about terrifying undead monster that climbed out of the grave and attacked, spreading death and pestilence. Rising sun burned him down, but his victims will sadly rise no more.
stolen_rooster_event.5;Красный петух;Ночью на дальних фермах случился пожар. Говорят, одна хозяйка другую в воровстве уличила. Забрала своего петуха золотого, а взамен «красного» оставила. Местный лорд осудил поджигательницу и обложил двойным налогом.;A fire on one of the remote farms this night. They say that a woman caught her neighbor trying to steal a golden rooster. Well, she took the golden one and paid the thief back, in fiery red. The local lord imposed the double tax on the arsonist as punishment.
stolen_rooster_event.4;Memento mori;Утром до вас дошли слухи, что хозяйку богатой фермы нашли околевшей в поле. Все ее хозяйство перешло ушлой соседке. Везет же кому-то!;A rich farm-owner was found dead in the field. Her farm went to her crafty neighbor. Some people are lucky like that.
GhostAtTheMill;;Поговаривают, что на мельнице завелось привидение. Церковь пришлет кого-то проверить этот слух.;Rumor has it that the mill is haunted. The church will surely send someone to investigate.
old_knight_event.3;Шляпа и шлем;Старый рыцарь, проигравший в финальной сшибке, во всеуслышание заявил, что его околдовала ведьма. Его подняли на смех, поэтому он преклонил колено перед старшим инквизитором, поклявшись искоренить чернокнижие в королевских землях.;An old knight lost the final joust of the tourney. He publicly declared a witch put a spell on him. He was ridiculed yet unmoved in his conviction, so he bent the knee to the grand inquisitor and swore an oath to eradicate the sorcerous corruption in king's realm.
SoldierSleepForgot;;Отряд солдат, присланный на борьбу с местными разбойниками, просидел весь день в трактире, будучи не в состоянии выполнять приказ. Братва вам благодарна.;Soldiers, sent here to hunt bandits, spent the whole time in local tavern instead. Homeboys are thankful.
SoldierDied;;В местном лесу перебили всех солдат, отправленных на поиски бандитов. Последние становятся все сильнее, и вы надеетесь, что они запомнят вашу помощь.;Soldiers went into the woods and not a single one came back, all slain by the bandits they were sent to hunt. You can only hope the latter will remember your kindness.
TaxCollectorWasRobbed;;Налоги не доехали до лорда — сборщик был найден мертвым на дороге. Лорд обещает найти и покарать всех, кто в этом виноват. Вместе с тем, ваш кошель стал тяжелее.;Peasant's money never reached the lord – the tax collector has been found dead on the road. The furious lord promises to find and punish the guilty. Meanwhile your pouch got a little bit heavier.
Painter_2_Perception;;В городе проходит новая выставка работ Гоффридуса. Он на пике популярности, но некоторые  жалуются на дискомфорт. Им кажется, что некоторые картины постоянно смотрят на них, где бы они ни были.;An art exhibition in the city: Goddfridus' new works. He's at the peak of popularity but some people complain they feel unease. They paintings - they say, - are watching <i>them</i>.
Painter_2_Beauty;;Работы Гоффридуса ценятся все больше. Один из лордов выкупил себе картину, чтобы жениться на ней, а другой — скончался от истощения, когда не смог оторваться от неё даже ради еды.;Goddfridus' paintings are growing in popularity and price. A scandalous lord even married one, another man died of exhaustion because he couldn't tear himself away.
Painter_2_Memory;;Возможно, это новый вид творчества, но новые работы Гоффридуса сильно напоминают какую-то мазню. Среди знати находятся некоторые люди, которые ищут глубинные смыслы и темы, но большая часть простого люда не оценила смену стиля. Сам художник не может никак это описать, отвечая лишь «агу?»;Maybe it's a new art style, but Goddfridus' recent paintings look more like a daub. Some noblemen see deep meaning and provoking themes in them but common people are not amused. The artist himself comments 'Goo goo ga ga!'
Painter_2_Chameleon;;Гоффридус снял огромный зал и проводит выставку своих новых работ. Но посетители не могут найти ни одной картины, как бы художник ни пытался их убедить в том, что они висят рядом. Особо разозленные посетители угрожают «побить этого выдумщика, авось видеть нормально станет».;Goddfridus rented a spacious hall for his new exhibition. Despite his efforts to convince everyone the paintings are right there, people simply can't find them. Several frustrated art connoisseurs even threatened the artist with violence.
Bird_Keeper_2_Unlove;;Кошмар во дворце! Королевского сокольничего заклевали его же подопечные. Часть птиц пришлось убить — они нападали и на других людей, чуть не разорвав новорожденного сына короля.;Panic in the palace! The royal falconer was attacked and killed by the birds in his care. Several beast had to be put down - they threatened other people, even coming close to mangling king's newborn son.
Bird_Keeper_2_Strength;;Люди в ужасе — расходятся слухи, что королевский сокол притащил с охоты целого лося без каких-то видимых усилий. Некоторые опасаются, что они могут скоро перейти на людей. ;People are afraid. There's a rumor that a royal falcon caught a whole moose without any effort. What if the birds start hunting people next?
Bird_Keeper_2_Perception;;Утром вам прислали благодарность из дворца: «Большущее вам спасибо за чудесный отвар! Теперь мои птички с небес даже таракана видят. Я всем расскажу, какая вы замечательная!» ;A thank-you letter from the palace in the mail this morning: 'Thank you for that amazing remedy! My birds can see a flea on a hound's tail from the sky. Everyone'll know how good you are.'
Bird_Keeper_2_Clumsiness;;Королевского сокольничего выгнали взашей. Говорят, что его птицы разучились даже летать и опозорили короля, когда тот устроил охоту для гостей из далеких земель. ;The royal falconer was banished and exiled. Birds in his care forgot how to fly and embarassed the king when his majesty went hunting with foreign officials.
Doctor_2_Wake;;Кажется, местный врач решил работать, пока не вылечит весь город — целый день проводит с больными без усталости и отдыха.;It seems the good doctor isn't going to rest while there's at least one sick person left in the city - he's accepting patients day and night without break.
Doctor_2_Healing;;Кажется, местному лекарю удалось совершить прорыв в медицине. По крайней мере, по его восторженным крикам, он сможет лечить людей быстрее и лучше. И все благодаря «этой чудесной (и немного жуткой) ведьмочке из пригорода!»;The doctor was heard bragging about a medical breakthrough he'd made - something about faster and better cures for the sick. He didn't forgot to mention 'that wonderful (but scary) witch from the outskirts.'
Doctor_2_Poison_Curse;;Местный лекарь был найден мертвым в своей лаборатории. Судя по всему, он проводил какие-то эксперименты на себе и доэксперементировался. Шепотки разносят, что на его столе нашли склянку с вашим зельем. ;The doctor was found dead in his laboratory. A sad result of self-experimentation. Someone noticed a vial with one of your potions on his table though.
Cultist_2;;Кажется, ночью на озере опять что-то происходило. Даже до вас ночной ветер донес странные песни и вой. Утром рыбаки обнаружили вокруг него горы мертвой рыбы и водорослей. ;Something's brewing at the lake yet again. The wind brings strange wailing songs that wake you in the middle of the night. In the morning the fishermen find piles of dead fish and kelp on the shore.
stolen_rooster_event.3;Благодарность;Ночью кто-то оставил на пороге вашей хижины кувшин молока, горшочек с маслом и корзинку яиц. Среди них лежит золотое петушиное перо – на удачу, наверное. Она вам теперь понадобится.;Someone's left a jar of milk, a pot of butter and a basket of eggs on your porch last night. And a single golden feather. Maybe it'll bring you luck - you surely need some.
FisherKissedTheFrog;;Дети, играя на речке, увидели, как один рыбак целовал лягушку, и быстро разнесли эту новость по деревне. Рыбак пытался всё отрицать, но его репутация уже была подмочена.;Kids playing on the river bank saw a fisherman kissing a frog and told everybody. He tried to deny it but his story doesn't hold much water.
FoolGrateful;;Дурачок благодарен вам за помощь с его проказами. Он разносит по всей округе вести, о том, какая вы хорошая и понимающая.;The fool is thankful for your help with his pranks. He tells everyone how kind and understanding you are
ManDiedHeartAttack;;Умер мужик, который в последнее время бегал между двумя бабами. Говорят, сердце не выдержало любовных страстей. Ещё поговаривают, что обе они частенько заглядывали к вам.;Another death in the village. They say the deceased kept swinging between two women and his heart gave out eventually from all that love. Both of the women were also seen frequenting you.
you win;;Можете считать, что вы прошли основную линию про отношения ведьмы с котом. Сказке конец, а кто решил, тот молодец.;Great! You got a story ending!
mary.42;;Девушка сдержала слово и принесла вам много разных лесных трав. Все впрок.;The young girl was true to her word and brought you lots of herbs from the forest. Saves you some work at least.
mary.41;;Девушка сдержала слово и принесла вам лесных трав.;The young girl was true to her word and brought you some herbs from the forest.
mary.43;;Девушка, что обещала принести вам трав, наткнулась в лесу на стаю волков. Она спаслась лишь благодаря вашему зелью. Не правда ли, чудное совпадение?;The young girl who promised to deliver you some herbs was attacked by wolves. Your potion probably saved her life. What a coincidence!
Painter_3_Curse;;Новый шедевр Гоффридуса выставили на главной площади города. Огромное полотно торжественно раскрыл зрителям сам король. Очень ненадолго, ибо богохульная мазня была настолько отвратительна, что на площади началась паника. Люди кричали от страха, убегали в ужасе и закидывали её всем, чем пришлось, лишь бы не видеть тех сводящих с ума отвратительных существ, что как будто бы собирались сойти с картины в наш мир. Картину объявили ересью, а художника — культистом, что пытался уничтожить город. Ему удалось смыться, прежде чем его догнала разъяренная толпа. Но он успел пустить слушок, что у него была помощница в остроконечной шляпе.;Goddfridus' new masterpiece was shown on the city square. The king himself revealed the giant canvas. The festive atmosphere was quickly shattered by the panic caused by the sight of the blasphemous painting. People were screaming and running away in fear while the brave few were throwing their belongings on the canvas, all just so they could avoid seeing the bizzare creatures who were seemingly about to enter our world through the picture. Heretical painting was destroyed, but the artist who tried to destroy the city escaped mob justice - yet not before letting slip that he had an accomplice in a pointed hat.
Painter_3_Love;;Новый шедевр Гоффридуса выставили на главной площади города. Огромное полотно торжественно раскрыл зрителям сам король. После короткой паузы началась сущая неразбериха - каждый пытался добраться до картины, чтобы забрать себе хотя бы кусочек. Страже удалось отогнать толпу, но картина безвозвратно повреждена. Но благодаря этому, имя Гоффридуса теперь точно сохраниться в веках и памяти людей.;Goddfridus' new masterpiece was shown on the city square. The king himself revealed the giant canvas. The chaos erupted soon after, with everyone trying to grab a piece of painting for himself. The city guard pacified the crowd, but the painting was damaged beyond repair. Yet the artist will surely be remembered for years to come.
Painter_3_Sleep;;Новый шедевр Гоффридуса выставили на главной площади города. Огромное полотно торжественно раскрыл зрителям сам король. После короткой паузы над площадью раздался оглушительный храп — все, кто глядел на картину, моментально засыпали. Очнулись люди только вечером — дневной дождь сильно размыл краски и испортил шедевр. Люди отправились домой отдохнувшие, но недовольные и с пустыми карманами. В отличие от зрителей, воры не зевали и смотрели лишь на свою добычу. Художник явно остался недоволен тем, как публика восприняла его работу, в которую он вложил так много души!;Goddfridus' new masterpiece was shown on the city square. The king himself revealed the giant canvas. Soon after the only thing heard about the square was loud snoring - anyone who looked directly at the painting fell asleep on the spot. They woke up in the evening, well-rested and with empty pockets - the thieves kept their eyes on the target, not some silly painting. The artist was absolutely livid at the reception and the painting itself was ruined by the rain.
Painter_3_Beauty;;Новый шедевр Гоффридуса выставили на главной площади города. Огромное полотно торжественно раскрыл зрителям сам король. Сначала раздался один всхлип, затем другой. Через секунду рыдала вся площадь. Ни один из людей не видел такой искренней и чистой красоты в своей жизни. Даже часть местных карманников рыдала на плече у своих жертв (так и не достав рук из чужих карманов). Гоффридус был на седьмом небе от счастья, что его работу приняли так хорошо. Конечно, зелье внесло свой вклад, но искреннее искусство — это тоже своего рода магия.;Goddfridus' new masterpiece was shown on the city square. The king himself revealed the giant canvas. A sob here, a wet choke there, and moments later the everyone in the square was crying. Never in their lives they saw such genuine and pure beauty. Even the thieves wept on their targets' shoulders, their hands halfway inside pockets and pouches. Goddfridus was over the moon with joy. The potion did its part, but true art is a magic of its own.
Doctor_3_Strength;;Местный лекарь объявил, что теперь сможет помогать всем, кого «покинула или никогда не посещала сила». Говорят, что даже Элиас, лежавший на печи 30 лет, сумел встать с нее (мимоходом подвинув её так, что стены в доме разошлись).;The doctor promised to help anyone who lost his strength or never had any in the first place. Even old Elias who was bedridden for the last 30 years sprang up and ran outside. Right through the wall.
Doctor_3_Beauty;;Очереди к местному врачевателю становятся все больше. Что странно, почти все посетительницы — девушки, которые подолгу сидят у него в кабинете. Но единственная, кто жалуется — его жена.;More and more people come to visit the doctor. Strangely, most of them are young women who stay in his cabinet a tad too long. No one's complaining, apart from his wife though.
Doctor_3_Memory;;В городе беда — лучший лекарь разучился лечить людей. Вместо отваров дает камни, вместо припарок пускает кровь, а вместо операций заставляет есть лягушек!;The doctor forgot his craft and now behaves erratically to say the least. Makes his patients swallow stones instead of medicine, calls a couple of frogs his 'lab assistants'(whatever that means) and most agree that at least some cases could be cured without bloodletting.
Cultist_3;;Ночью разразилась страшная гроза. Деревья гнуло, дождь барабанил по крышам, а по улицам текли реки воды. Несмотря на это, утром обнаружилось, что озеро около города полностью пересохло, а часть самых разных людей из города пропала. Вы же обнаружили у своей двери странный идол с самыми наилучшими пожеланиями.;A storm of the century came last night. Trees were broken, roofs were blown away and the streets were like rivers. Yet in the morning the lake was dry and too many people went missing. And on your porch stood a strange idol with a thank-you note, written in blood.
Doctor_4_Rejuvenation;;Недавно умерший крестьянин вернулся домой к большому удивлению и шоку всей его семьи. Правда, вернулся он не с благими намерениями. Когда соседи услышали шум из его дома, то нашли обезумевшего человека, который растерзал всю свою семью и пытался добраться до других людей. Его пришлось упокоить второй раз.;A man came back from the dead, to his family shocked surprise. Yet come back wrong he did, for the horrified neighbors, who came running when they'd heard the screams, met a madman covered in blood of his loved ones. At least they were able to grant him a second death.
Doctor_4_Fail;;Местный лекарь все чаще стал в задумчивости бродить по городу. Люди слышали, как он бурчал себе под нос о том, что «все должно быть правильно, в чем же я ошибся?». Вы знаете, в чем. Но некоторые знания просто нельзя давать в руки людям.;People noticed a change in doctor's behaviour. They often hear him mutter 'I did everything right, where was I mistaken?'. You know where. But some knowledge is best kept sealed.
WidowOfBlacksmith;;К вдове кузнеца внезапно посватался его старый приятель. Среди селян поднялся слушок, что смерть была не случайной.;Late blacksmith's friend proposed to the widow. Despite his seemingly noble intentions, rumor has it that the death wasn't an accident after all.
bastard-2-failure;Позор семьи;Говорят, король отослал брата подальше от двора. Слишком много вилось мрачных слухов вокруг бастарда, слишком большие разногласия из-за него возникли между правителем и епископом. В народе считают, что король так это дело не оставит, и будет искать повод отомстить епископу и прочим духовникам.;The king was forced to send his brother away from court. Too many dark rumors were connected to him, with too many arguments arising between the ruler and the bishop. People are saying that the king is not going to let it slide and is looking for an opportunity to exact a revenge upon the bishop and his clergy.
bastard-2-story;Бастард;От трона падает длинная тень, и в ней скрывается незаконнорожденный брат короля. Бастард, отмеченный божьим проклятием. И правая рука короля. Много темных и светлых дел ему приписывают, но слухи сходятся в одном – это самый опасный и умнейший человек при дворе. Правда, даже такие, как он, могут угодить в беду. Например, епископ считает его присутствие подле трона греховным, и обвиняет в бедах, что обрушились на королевство.;A long shadow falls from the throne, hiding the king's bastard brother marked with Leprosy, a curse of God. The king's right hand, he is rumored for many deeds, good and bad alike, but one is known for sure – he is the most clever and dangerous man at the royal court. The bishop himself regards his presence as a sin and a source for all misfortunes that fall upon the kingdom.
