id;string_RU;string_EN;Max 250 for description, 100 for short
Rogue.title;Разбойничьи обноски;Brigand rags;12
Rogue.description;В народе ходит присказка, что тот, кто идет к власти путем силы, удерживать ее будет страхом. И одеяние ваше призвано внушать трепет врагам. Пусть с виду это лишь обноски и рванина, но лишь дурак перейдет дорогу ведьме, что носит их.;They say those who rule by fear are by definition weak. Yet they say so in hushed whispers. Despite the ragged appearance, this garb strikes fear into the hearts of your enemies. Woe to those who dare to cross you!;214
Rogue.short;Такой наряд - все равно что маяк для бандитов.;A sure sign for any outlaw that you're one of them.;51
Fire.title;Огненное облачение;Flaming attire;14
Fire.description;Жизнь ведьмы, как говорили мудрецы, это пляска между очищающими кострами. Облачение символизирует пламя, сквозь которое вы стремитесь к величию и силе. Немногие отважатся надеть его, но те, что носят — делают это с гордостью.;A witch lives and dies by the fire. It symbolizes the desire for power and renown. Those few who dare to wear the flaming outfit, do so with pride.;147
Fire.short;Горим на работе! Огненное облачение способствует росту вашей славы.;Blaze of glory! The flames help to raise your Fame.;51
Halloween.title;Тыквенный костюм;Pumpkin gown;12
Halloween.description;В канун Дня Всех Святых простой люд облачается в костюмы колдунов и ведьм, чтобы злобные сущности обходили их стороной. Наряд пестрый и украшен потешными атрибутами. Отличный вариант, чтобы слиться с толпой.;A carnival dress, decorated for festivities - just like those that the common folk wear on All Hallows Eve to ward off evil. Good choice if you want to blend into the crowd.;173
Halloween.short;Маскарадный костюм намекает, что вы не настоящая ведьма. Слава снижается быстрее.;A masquerade costume implies you aren't a real witch. Fame falls faster.;72
Inquisitor.title;Одеяние искателя;Inquisitor's outfit;19
Inquisitor.description;Когда-то инквизиция искала не только еретиков и слуг дьявола, но и знания, которые можно было поставить на службу добру. Эти одеяния говорят о том, что их хозяин открыт к поискам самых разных знаний и не всегда стремится обратить их во зло.;There used to be a time when the inquisition didn't just hunt the heretics and servants of the darkness. This outfit shows that the wearer is open to wisdom and knowledge, be it good or bad.;190
Inquisitor.short;Наряд, который наверняка обратит на вас внимание церкви.;Guaranteed to draw the Church's watchful eye.;45
Default.title;Ведьмин наряд;Witch's dress.;14
Default.description;Платье, шляпа и панталоны, пошитые неизвестно кем и неизвестно когда. Одежда поношенная, но по-прежнему не выцвела, что говорит о мастерстве красильщиков.;Robe, hat and pantaloons made by an unknown tailor a long time ago. Heavily worn, but the colors are still bight and vibrant.;125
Default.short;Ваше первое одеяние поможет на время забыть, что происходило в прошлых жизнях.;Your old clothes. Lets you ease the burden of your past lifetimes.;66
Noble.title;Одеяние придворной ведьмы;Royal witch's attire;20
Noble.description;Природа королей такова, что они стремятся властвовать не только над умами и землями. Некоторые мечтают подчинить себе неведомое, а в таких делах без умелой ведьмы не обойтись.;It is in any ruler's nature to expand their reign over lands and the people's hearts. Some want to go even further beyond, into the unknown - that's when they need a skilled witch.;180
Noble.short;Эта одежка сделает вашу жизнь сложнее и интереснее - кажется, кто-то украл вашу книгу?;Your life gets harder and more interesting - has someone stole your book?;73
Puppet.title;Облачение целительницы;Healer's garb;13
Puppet.description;Это облачение свидетельствует о том, что ваши навыки ниспосланы самим Господом, дабы вы помогали простому народу и нуждающимся. Редко кому доводилось носить подобные наряды, ведь церковь не приемлет колдовства.;Not just a dress - it's a symbol of your selfless mission to help the ill and the poor. Few wear it openly, for the Church does not tolerate witchcraft.;152
Puppet.short;Этот наряд сделает жизнь сложнее и интереснее - астрологи сулят низкий урожай ингредиентов.;Your life gets harder and more interesting - astrologers proclaim poor harvest of ingredients.;94
Spider.title;Паучий костюм;Spider witch;12
Spider.description;Паук, что живет по углам и плетет тенета, вызывает страх лишь у простаков и непосвященных. Немногие понимают, что искусные сети паука несут миру лишь пользу. Страх может быть отличным другом, нужно лишь уметь применить его в своих целях.;Only fools fear a humble spider that sits in a corner spinning his web. There's great beauty in the weave, and wise ones can read a man's fate in its silver threads. And the fear can be a helpful tool if you know how to use it.;227
Spider.short;Людям свойственно бояться пауков. Страх растет быстрее.;People are afraid of spiders. Fear grows faster.;48
Mushroom.title;Грибной наряд;Mushroom costume;16
Mushroom.description;Гриб есть символ единения для всех, кто живет темными искусствами. Издревле грибы хранили тайны и даровали знающим особые силы. Ведьмы и колдуны ценят их, а простые люди лишь варят грибной суп да шляпки пинают.;"Since time immemorial mushrooms revealed their secrets and granted dreadful powers to those who were wise in their ways. Witches and wizards value them greatly; for common people its just something you throw into stew.";218
Mushroom.short;Такой наряд испугает разве что грибников. Страх падает быстрее.;It's hard to take you seriously. Fear falls faster.;51
Stargazer.title;Наряд звездочета;Astrologer's robe;17
Stargazer.description;Звезды помнят все, что было. Знают, что будет. Звездочеты всегда смотрят в прошлое и стараются учесть его ошибки, чтобы не повторить их в настоящем и дожить до будущего.;The stars remember. The stars know what's ahead. Astrologers consult them to learn the mistakes of the past, avoid them in the present and live to see the tomorrow.;164
Stargazer.short;К представителю этой уважаемой профессии даже королю обратиться не зазорно.;Even the kings aren't above talking to members of this esteemed guild.;70
Sweet.title;Наряд сладкой ведьмы;Sweet enchantress' dress;24
Sweet.description;​​Подобные наряды когда-то носили ведьмы, что сладостями заманивали детей вглубь леса. Теперь их надевают покровительницы кулинаров, поваров и домохозяек. Ведь готовка тоже своего рода колдовство.;No, it's not a lure for hungry abandoned children. Cooking is its own kind of magic, and it's time to show it to everyone!;122
Sweet.short;Увлечение кулинарией приведет к вам новых интересных посетителей.;Your culinary endeavors will attract new visitors.;50
Frog.title;Жабий костюм;Toad skin;9
Frog.description;Жаба считается не только предвестником дождей и бородавок. В древних культах она символизировала смерть и возрождение, уродство и скрытую красоту. Этот знак по-прежнему популярен в кругах тех, кто ищет скрытое.;Everyone knows toads bring rains and warts. Some also know it's a symbol for new life after death, for ugliness that hides inner beauty. Seekers of the arcane still respect it.;176
Frog.short;Слухи, распускаемые ковеном, обходятся вам дешевле. И не только по средам.;The rumors spread by the coven are cheaper. Not only on Wednesday.;66
Default.confirm;Это платье в том числе обнулит ваши отношения с Тайным Кругом. Слухи будут недоступны. Уверены?;This dress will also reset your relations with the Circle. Rumors will be unavailable. Are you sure?;
Noble.confirm;Вы хотите активировать особый режим? Вам придется варить зелья по памяти.;Are you sure you want to enable this prestige mode? You will need to brew potions by memory.;
Puppet.confirm;Вы хотите активировать особый режим? Каждый ингредиент можно будет использовать только один раз в день.;Are you sure you want to enable this prestige mode? Each ingredient will be available only once a day.;
